DEPTH,A,B
3418.0272,3.83551,77.49921
3418.1796,3.07948,74.51763
3418.332,2.56726,71.77165
3418.4844,2.74328,69.38022
3418.6368,3.40181,68.75179
3418.7892,4.85897,70.56218
3418.9416,5.46502,70.84878
3419.094,3.18282,72.17463
3419.2464,2.11232,72.95995
3419.3988,2.54929,73.90778
3419.5512,2.85362,76.07695
3419.7036,2.7248,76.65717
3419.856,2.69628,76.86254
3420.0084,2.65197,77.22992
3420.1608,2.62678,77.88487
3420.3132,2.65355,77.61775
3420.4656,2.70761,77.52957
3420.618,2.76694,77.92346
3420.7704,2.88156,78.73508
3420.9228,2.93234,78.1819
3421.0752,2.67936,78.70268
3421.2276,2.52106,79.45633
3421.38,2.36029,78.62185
3421.5324,2.2558,78.17093
3421.6848,2.18006,78.56964
3421.8372,2.17363,77.84266
3421.9896,2.20528,77.81483
3422.142,2.173,77.35092
3422.2944,2.25219,76.3553
3422.4468,2.26301,76.18183
3422.5992,2.39527,76.8505
3422.7516,2.47264,77.45273
3422.904,2.71911,78.48966
3423.0564,2.61892,78.67464
3423.2088,2.16525,79.88476
3423.3612,2.50152,78.70344
3423.5136,3.68694,78.67248
3423.666,3.7113,79.01416
3423.8184,4.06792,65.25561
3423.9708,5.48979,62.54225
3424.1232,11.30765,60.95427
3424.2756,10.646,66.95435
3424.428,8.0387,66.23764
3424.5804,6.65955,66.35694
3424.7328,7.3611,66.86026
3424.8852,9.34765,66.36292
3425.0376,5.09691,67.77575
3425.19,3.13997,67.63421
3425.3424,3.50909,70.07361
3425.4948,3.92187,74.32612
3425.6472,3.58941,74.42161
3425.7996,3.34047,74.5161
3425.952,3.37406,73.87596
3426.1044,3.43925,73.27005
3426.2568,3.75953,69.7697
3426.4092,4.20619,69.20118
3426.5616,4.00182,65.98679
3426.714,3.91985,65.45583
3426.8664,3.859,65.29959
3427.0188,3.62494,64.67326
3427.1712,3.30283,64.64387
3427.3236,3.37916,65.44574
3427.476,3.88995,65.77907
3427.6284,4.15604,65.91562
3427.7808,3.88087,65.71616
3427.9332,3.94817,67.66514
3428.0856,4.08845,67.83992
3428.238,4.20162,69.11654
3428.3904,4.31725,70.16914
3428.5428,4.10349,70.38908
3428.6952,3.79828,70.44394
3428.8476,3.45194,69.81715
3429.0,3.5109,69.69222
3429.1524,5.10112,69.28323
3429.3048,5.93621,68.40526
3429.4572,5.15563,68.15224
3429.6096,4.1876,68.14365
3429.762,5.07647,68.08622
3429.9144,8.34401,67.70282
3430.0668,10.128,67.58922
3430.2192,8.79148,67.48434
3430.3716,6.7297,67.49244
3430.524,8.58997,67.43377
3430.6764,10.56663,64.62269
3430.8288,10.77825,60.20181
3430.9812,10.21899,60.18218
3431.1336,12.33615,60.16472
3431.286,11.65994,60.11753
3431.4384,8.43667,59.71136
3431.5908,6.23447,59.29533
3431.7432,6.97432,58.03145
3431.8956,7.56777,58.42986
3432.048,6.04324,59.33313
3432.2004,4.89476,59.9605
3432.3528,4.72059,60.45482
3432.5052,4.76374,60.53739
3432.6576,4.85683,60.21385
3432.81,4.89852,61.13761
3432.9624,5.45286,61.69268
3433.1148,6.20292,61.70249
3433.2672,6.50736,61.9168
3433.4196,7.42579,61.66458
3433.572,8.13214,61.4639
3433.7244,8.54952,61.04574
3433.8768,9.42817,90.47561
3434.0292,9.36573,87.8248
3434.1816,7.7478,87.87387
3434.334,5.68878,86.82676
3434.4864,7.30153,78.15163
